femalestar,malestar,femalerasi,malerasi,motha porutham,target
poonarpusham 1 2 3 padham,avitam 3 4 padam,mithunam,kumbam,#REF!,1
poonarpusham 1 2 3 padham,sathayam,mithunam,kumbam,#REF!,1
poonarpusham 1 2 3 padham,pooratadhi 1 2 3 padham,mithunam,kumbam,#REF!,0
poonarpusham 1 2 3 padham,pooratadhi 4 padham,mithunam,meenam,#REF!,0
poonarpusham 1 2 3 padham,uthiraithadhi,mithunam,meenam,#REF!,1
poonarpusham 1 2 3 padham,revathi,mithunam,meenam,#REF!,1
poonarpusham 4 padham,aswini,kadagam,mesam,#REF!,1
poonarpusham 4 padham,bharani,kadagam,mesam,#REF!,1
poonarpusham 4 padham,karthigai 1 padham,kadagam,mesam,#REF!,0
poonarpusham 4 padham,karthigai 2 3 4 padham,kadagam,rishabam,#REF!,0
poonarpusham 4 padham,rohini,kadagam,rishabam,#REF!,1
poonarpusham 4 padham,mirugasirisham 1 2 padham,kadagam,rishabam,#REF!,1
poonarpusham 4 padham,mirugasirisham 3 4 padham,kadagam,mithunam,#REF!,1
poonarpusham 4 padham,thiruvadhirai,kadagam,mithunam,#REF!,1
poonarpusham 4 padham,poonarpusham 1 2 3 padham,kadagam,mithunam,#REF!,0
poonarpusham 4 padham,poonarpusham 4 padham,kadagam,kadagam,#REF!,0
poonarpusham 4 padham,poosam,kadagam,kadagam,#REF!,1
poonarpusham 4 padham,ayilyam,kadagam,kadagam,#REF!,0
poonarpusham 4 padham,magam,kadagam,simmam,#REF!,0
poonarpusham 4 padham,pooram,kadagam,simmam,#REF!,0
poonarpusham 4 padham,uthiram 1 padham,kadagam,simmam,#REF!,0
poonarpusham 4 padham,uthiram 2 3 4 padham,kadagam,kanni,#REF!,0
poonarpusham 4 padham,astham,kadagam,kanni,#REF!,0
poonarpusham 4 padham,chithirai 1 2padham,kadagam,kanni,#REF!,1
poonarpusham 4 padham,chithirai 3 4 padham,kadagam,thualam,#REF!,1
poonarpusham 4 padham,swathi,kadagam,thualam,#REF!,1
poonarpusham 4 padham,visagam 1 2 3 padham,kadagam,thualam,#REF!,0
poonarpusham 4 padham,visagam 4 padham,kadagam,viruchagam,#REF!,0
poonarpusham 4 padham,anusam,kadagam,viruchagam,#REF!,1
poonarpusham 4 padham,kettai,kadagam,viruchagam,#REF!,1
poonarpusham 4 padham,moolam,kadagam,dhanush,#REF!,1
poonarpusham 4 padham,pooradam,kadagam,dhanush,#REF!,1
poonarpusham 4 padham,uthiradam 1 padham,kadagam,dhanush,#REF!,0
poonarpusham 4 padham,uthiradam 2 3 4 padham,kadagam,magaram,#REF!,0
poonarpusham 4 padham,thiruvonam,kadagam,magaram,#REF!,1
poonarpusham 4 padham,avitam 1 2 padham,kadagam,magaram,#REF!,1
poonarpusham 4 padham,avitam 3 4 padam,kadagam,kumbam,#REF!,1
poonarpusham 4 padham,sathayam,kadagam,kumbam,#REF!,1
poonarpusham 4 padham,pooratadhi 1 2 3 padham,kadagam,kumbam,#REF!,0
poonarpusham 4 padham,pooratadhi 4 padham,kadagam,meenam,#REF!,0
poonarpusham 4 padham,uthiraithadhi,kadagam,meenam,#REF!,1
poonarpusham 4 padham,revathi,kadagam,meenam,#REF!,1
poosam,aswini,kadagam,mesam,#REF!,1
poosam,bharani,kadagam,mesam,#REF!,0
poosam,karthigai 1 padham,kadagam,mesam,#REF!,1
poosam,karthigai 2 3 4 padham,kadagam,rishabam,#REF!,1
poosam,rohini,kadagam,rishabam,#REF!,1
poosam,mirugasirisham 1 2 padham,kadagam,rishabam,#REF!,1
poosam,mirugasirisham 3 4 padham,kadagam,mithunam,#REF!,1
poosam,thiruvadhirai,kadagam,mithunam,#REF!,1
poosam,poonarpusham 1 2 3 padham,kadagam,mithunam,#REF!,1
poosam,poonarpusham 4 padham,kadagam,kadagam,#REF!,1
poosam,poosam,kadagam,kadagam,#REF!,0
poosam,ayilyam,kadagam,kadagam,#REF!,1
poosam,magam,kadagam,simmam,#REF!,0
