femalestar,malestar,femalerasi,malerasi,thinam porutham,kanam porutham,magendhiram porutham,sthirthirgam porutham,yoni porutham,Rasi porutham,rasi adhipathi porutham,vasiyam porutham,raji porutham,vedhai porutham,motha_porutham,target,inputs
karthigai 2 3 4 padham,pooradam,rishabam,dhanush,1,0,0,1,0,0,1,0,1,1,5,0,147910
karthigai 2 3 4 padham,uthiradam 1 padham,rishabam,dhanush,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 2 3 4 padham,uthiradam 2 3 4 padham,rishabam,magaram,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 2 3 4 padham,thiruvonam,rishabam,magaram,1,0,0,1,0,1,1,0,1,1,6,1,1467910
karthigai 2 3 4 padham,avitam 1 2 padham,rishabam,magaram,0,1,0,1,1,1,1,0,1,1,7,1,24567910
karthigai 2 3 4 padham,avitam 3 4 padam,rishabam,kumbam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
karthigai 2 3 4 padham,sathayam,rishabam,kumbam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
karthigai 2 3 4 padham,pooratadhi 1 2 3 padham,rishabam,kumbam,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 2 3 4 padham,pooratadhi 4 padham,rishabam,meenam,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 2 3 4 padham,uthiraithadhi,rishabam,meenam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
karthigai 2 3 4 padham,revathi,rishabam,meenam,0,0,1,1,1,1,1,0,1,1,7,1,34567910
rohini,aswini,rishabam,mesam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
rohini,bharani,rishabam,mesam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
rohini,karthigai 1 padham,rishabam,mesam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
rohini,karthigai 2 3 4 padham,rishabam,rishabam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
rohini,rohini,rishabam,rishabam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
rohini,mirugasirisham 1 2 padham,rishabam,rishabam,1,1,0,0,1,1,1,0,1,1,7,1,12567910
rohini,mirugasirisham 3 4 padham,rishabam,mithunam,1,1,0,0,1,0,1,0,1,1,6,1,1257910
rohini,thiruvadhirai,rishabam,mithunam,0,0,0,0,0,0,0,0,0,0,0,0,b
rohini,poonarpusham 1 2 3 padham,rishabam,mithunam,1,1,1,0,1,0,1,0,1,1,7,1,12357910
rohini,poonarpusham 4 padham,rishabam,kadagam,1,1,1,0,1,0,0,1,1,1,7,1,12358910
rohini,poosam,rishabam,kadagam,0,1,0,0,1,0,0,1,1,1,5,0,258910
rohini,ayilyam,rishabam,kadagam,1,1,0,0,1,0,0,1,1,1,6,1,1258910
rohini,magam,rishabam,simmam,0,1,1,0,0,0,0,0,1,1,4,0,23910
rohini,pooram,rishabam,simmam,1,1,0,1,0,0,0,0,1,1,5,0,124910
rohini,uthiram 1 padham,rishabam,simmam,1,1,0,1,1,0,0,0,1,1,6,1,1245910
rohini,uthiram 2 3 4 padham,rishabam,kanni,1,1,0,1,0,0,1,0,1,1,6,1,1247910
rohini,astham,rishabam,kanni,0,0,0,0,0,0,0,0,0,0,0,0,b
rohini,chithirai 1 2padham,rishabam,kanni,1,1,0,1,1,0,1,0,1,1,7,1,12457910
rohini,chithirai 3 4 padham,rishabam,thualam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
rohini,swathi,rishabam,thualam,0,0,0,0,0,0,0,0,0,0,0,0,b
rohini,visagam 1 2 3 padham,rishabam,thualam,1,1,1,1,1,0,1,1,1,1,9,1,1234578910
rohini,visagam 4 padham,rishabam,viruchagam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
rohini,anusam,rishabam,viruchagam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
rohini,kettai,rishabam,viruchagam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
rohini,moolam,rishabam,dhanush,0,1,1,1,1,0,1,0,1,1,7,1,23457910
rohini,pooradam,rishabam,dhanush,1,1,0,1,1,0,1,0,1,1,7,1,12457910
